train_losses,val_losses
1.0833049944468907,0.9469732840855917
1.0460945606231689,1.032182017962138
1.0465813159942627,1.0328556299209595
0.9507752588817051,0.9058824578921
0.8514296701976232,0.8337809840838114
0.7720425290720804,0.611240933338801
0.6708540081977844,0.5496736367543539
0.6110908159187862,1.6441458861033122
0.48764424409185136,0.3198256691296895
0.4454319132225854,0.617998369038105
0.3320588910153934,0.5216558277606964
0.35707997786147255,0.158207006752491
0.2967498711177281,0.1889907866716385
0.23067848395024027,0.5810359095533689
0.2254301317036152,0.0957449475924174
0.16338356211781502,0.11520264794429143
0.2626503784741674,0.2047217252353827
0.1605350968561002,0.2849365472793579
0.17540746262030943,0.07500998862087727
0.08708346214677606,0.02882212648789088
0.08522922902234963,0.12441278994083405
0.14699443270053184,0.020526886296768982
0.1306560821299042,0.05571251486738523
0.13774727103965623,0.018165969910720985
0.08839534776551383,0.02711837428311507
0.0739954347190048,0.019253527124722798
0.04525712044643504,0.011218789499253035
0.024689736869186164,0.008759094091753164
0.05923354354287897,0.021663549977044266
0.036683176537709576,0.011055483637998501
0.07903708647936583,0.004888057010248303
0.06316423936347876,0.010280288445452848
0.04887888798756259,0.006045468772451083
0.032518318548266374,0.0059743050175408525
0.02027096752343433,0.011856980932255587
0.04850153962283262,0.005329827933261792
0.026790917145886592,0.006244850189735492
0.034448092131476316,0.004645724315196276
0.03278142318927816,0.008903479824463526
0.01701367316501481,0.005382092514385779
0.02172191754382636,0.005815221928060055
0.02341288552353425,0.003500511714567741
0.012328601149576051,0.0034955299148956933
0.01800880251851465,0.0031363296632965407
0.0582753624700542,0.010479746386408806
0.026750750706664154,0.01326143927872181
0.032645047762032066,0.003838196008776625
0.03727352710972939,0.0036266968430330357
0.012378050486690231,0.0028230936732143164
0.0474312566520114,0.0036429766720781722
0.10140097253024578,0.013342653711636862
0.03461020364026938,0.006075255107134581
0.02961750960509692,0.0050047569287319975
0.010838077889223184,0.0041463738307356834
0.018712052716208356,0.004532449568311374
0.015147536181445632,0.005044134023288886
0.01396161947798516,0.00531911135961612
0.009046313392796686,0.0035867432598024607
0.023664648764367614,0.004308659738550584
0.022815931887765015,0.0027719808276742697
0.02162956683563867,0.002631923882290721
0.01837542293194149,0.005119764556487401
0.013742881767185671,0.00256449969795843
0.025304464111104607,0.002664880594238639
0.024588862673512527,0.006773706215123336
0.017783442212800895,0.0031289472244679928
0.009458906795563443,0.003232580221568545
0.009689419606833586,0.0036763269066189728
0.012969576354537691,0.00359438577045997
